"","id1","id2"
"2",2,107
"3",2,499
"4",2,1004
"5",2,1005
"6",2,1006
"7",2,1007
"8",2,1008
"9",2,1092
"10",2,1145
"11",2,1147
"12",2,1166
"13",2,4050
"14",2,4051
"15",2,4052
"16",2,4053
"17",2,4054
"18",2,4058
"19",2,4060
"20",2,4061
"21",2,5404
"22",2,5405
"23",2,5406
"24",2,5407
"25",2,5408
"26",2,5409
"27",2,5410
"28",2,5411
"29",2,5513
"30",2,5514
"31",2,10030
"32",2,10031
"33",2,10032
"34",2,12202
"35",2,13228
"36",107,30
"37",107,68
"38",107,147
"39",107,367
"40",107,440
"41",107,625
"42",107,651
"43",107,688
"44",107,697
"45",107,845
"46",107,904
"47",107,926
"48",107,979
"49",107,1135
"50",107,1219
"51",107,1471
"52",107,1472
"53",107,1473
"54",107,1474
"55",107,1475
"56",107,1476
"57",107,1477
"58",107,1478
"59",107,1479
"60",107,1603
"61",107,2553
"62",107,2554
"63",107,2557
"64",107,3306
"65",107,3307
"66",107,3308
"67",107,3309
"68",107,3310
"69",107,3311
"70",107,3312
"71",107,5088
"72",107,5089
"73",107,5326
"74",107,5547
"75",107,5548
"76",107,5549
"77",107,5550
"78",107,5551
"79",107,5552
"80",107,5553
"81",107,6172
"82",107,10374
"83",107,11440
"84",107,11441
"85",107,11442
"86",107,11443
"87",107,11444
"88",107,11445
"89",107,11446
"90",107,11447
"91",107,11448
"92",107,11449
"93",107,11647
"94",107,11648
"95",107,11649
"96",107,11650
"97",107,11651
"98",107,11652
"99",107,11669
"100",107,11670
"101",107,11671
"102",107,11672
"103",107,11673
"104",107,12964
"105",107,12965
"106",107,12966
"107",107,12967
"108",107,12968
"109",107,12969
"110",107,15848
"111",107,15849
"112",107,15850
"113",107,15851
"114",107,15852
"115",107,15853
"116",107,15854
"117",107,15855
"118",107,15856
"119",107,15857
"120",107,15858
"121",107,15859
"122",499,2
"123",499,328
"124",499,473
"125",499,625
"126",499,1219
"127",499,1597
"128",499,2893
"129",499,2894
"130",499,2895
"131",499,3950
"132",499,3951
"133",499,3952
"134",499,5031
"135",499,5354
"136",499,5355
"137",499,5356
"138",499,5357
"139",499,12123
"140",499,13119
"141",499,21385
"142",499,21386
"143",499,21387
"144",499,21388
"145",499,21389
"146",499,21390
"147",499,21391
"148",499,21392
"149",499,21393
"150",499,21394
"151",499,21395
"152",499,21396
"153",499,21397
"154",499,21398
"155",499,21399
"156",499,21400
"157",499,21401
"158",499,21402
"159",499,21403
"160",499,21404
"161",499,21405
"162",1008,13193
"163",4054,4055
"164",5406,1529
"165",5406,5818
"166",5406,6602
"167",5406,6774
"168",5406,6972
"169",5406,7089
"170",5406,16661
"171",5406,16662
"172",5406,16663
"173",5406,16664
"174",5406,16665
"175",5406,16666
"176",5406,16667
"177",5406,16668
"178",10030,10029
"179",10030,40149
"180",10030,43045
"181",10030,43058
"182",10031,10033
"183",10031,40195
"184",10031,40208
"185",10031,43131
"186",10031,43132
"187",10031,43133
"188",10031,43135
"189",10031,55010
"190",10031,60122
"191",10031,60130
"192",10032,40224
"193",10032,40225
"194",10032,43199
"195",10032,43200
"196",12202,9636
"197",12202,9637
"198",12202,9638
"199",12202,9639
"200",12202,9640
"201",12202,9641
"202",12202,9642
"203",12202,9643
"204",12202,9644
"205",12202,9645
"206",12202,9646
"207",30,23
"208",30,57
"209",30,58
"210",30,107
"211",30,109
"212",30,250
"213",30,321
"214",30,354
"215",30,502
"216",30,556
"217",30,563
"218",30,625
"219",30,1073
"220",30,1151
"221",30,1179
"222",30,1184
"223",30,1219
"224",30,1592
"225",30,1593
"226",30,1594
"227",30,1595
"228",30,1596
"229",30,1597
"230",30,1598
"231",30,1599
"232",30,1600
"233",30,1601
"234",30,1602
"235",30,1603
"236",30,1646
"237",30,4301
"238",30,4367
"239",30,4474
"240",30,4475
"241",30,5476
"242",30,5533
"243",30,5534
"244",30,5535
"245",30,10264
"246",30,10342
"247",30,10343
"248",30,10344
"249",30,10345
"250",30,10346
"251",30,10347
"252",30,10368
"253",30,10369
"254",30,10370
"255",30,10371
"256",30,10372
"257",30,10373
"258",30,10374
"259",30,10375
"260",30,10376
"261",30,10377
"262",30,10379
"263",30,10380
